cannot import cuda implementation for inference, fallback to pytorch.
警告: 以下QP值超出安全范围 [0, 71]，将被跳过: [75, 80]
将测试以下QP值: [20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70]

================================================================================
开始多QP测试
================================================================================


================================================================================
测试 QP = 20
================================================================================

QP=20 | [BasketballPass_416x240_50.yuv] Weighted PSNR: 32.749 dB | Y-PSNR: 30.883 dB | U-PSNR: 38.867 dB | V-PSNR: 37.830 dB | MSE: 0.00290 | Bpp: 0.0116

✓ QP=20 测试完成

================================================================================
测试 QP = 25
================================================================================

QP=25 | Frame 01: Weighted PSNR: 34.697 dB | Y: 32.918 | U: 40.382 | V: 39.684 | Bpp: 0.0724
QP=25 | Frame 02: Weighted PSNR: 34.214 dB | Y: 32.357 | U: 40.266 | V: 39.305 | Bpp: 0.0044
QP=25 | Frame 03: Weighted PSNR: 34.603 dB | Y: 32.766 | U: 40.411 | V: 39.821 | Bpp: 0.0257
QP=25 | Frame 04: Weighted PSNR: 34.333 dB | Y: 32.454 | U: 40.206 | V: 39.736 | Bpp: 0.0032
QP=25 | Frame 05: Weighted PSNR: 34.747 dB | Y: 32.963 | U: 40.289 | V: 39.909 | Bpp: 0.0203
QP=25 | Frame 06: Weighted PSNR: 34.369 dB | Y: 32.497 | U: 40.222 | V: 39.745 | Bpp: 0.0042
QP=25 | Frame 07: Weighted PSNR: 34.616 dB | Y: 32.797 | U: 40.241 | V: 39.906 | Bpp: 0.0151
QP=25 | Frame 08: Weighted PSNR: 34.300 dB | Y: 32.350 | U: 40.331 | V: 39.966 | Bpp: 0.0046
QP=25 | Frame 09: Weighted PSNR: 34.614 dB | Y: 32.736 | U: 40.489 | V: 40.009 | Bpp: 0.0168
QP=25 | Frame 10: Weighted PSNR: 34.257 dB | Y: 32.299 | U: 40.306 | V: 39.959 | Bpp: 0.0044
QP=25 | Frame 11: Weighted PSNR: 34.441 dB | Y: 32.533 | U: 40.251 | V: 40.077 | Bpp: 0.0136
QP=25 | Frame 12: Weighted PSNR: 34.026 dB | Y: 32.083 | U: 40.059 | V: 39.651 | Bpp: 0.0045
QP=25 | Frame 13: Weighted PSNR: 34.572 dB | Y: 32.733 | U: 40.316 | V: 39.858 | Bpp: 0.0209
QP=25 | Frame 14: Weighted PSNR: 34.291 dB | Y: 32.373 | U: 40.301 | V: 39.783 | Bpp: 0.0043
QP=25 | Frame 15: Weighted PSNR: 34.468 dB | Y: 32.626 | U: 40.232 | V: 39.752 | Bpp: 0.0143
QP=25 | Frame 16: Weighted PSNR: 34.219 dB | Y: 32.320 | U: 40.165 | V: 39.664 | Bpp: 0.0048
QP=25 | Frame 17: Weighted PSNR: 34.523 dB | Y: 32.694 | U: 40.275 | V: 39.744 | Bpp: 0.0189
QP=25 | Frame 18: Weighted PSNR: 34.219 dB | Y: 32.308 | U: 40.183 | V: 39.722 | Bpp: 0.0038
QP=25 | Frame 19: Weighted PSNR: 34.446 dB | Y: 32.566 | U: 40.269 | V: 39.904 | Bpp: 0.0135
QP=25 | Frame 20: Weighted PSNR: 34.204 dB | Y: 32.274 | U: 40.316 | V: 39.670 | Bpp: 0.0042
QP=25 | Frame 21: Weighted PSNR: 34.580 dB | Y: 32.709 | U: 40.386 | V: 40.004 | Bpp: 0.0183
QP=25 | Frame 22: Weighted PSNR: 34.283 dB | Y: 32.365 | U: 40.293 | V: 39.780 | Bpp: 0.0040
QP=25 | Frame 23: Weighted PSNR: 34.392 dB | Y: 32.522 | U: 40.192 | V: 39.817 | Bpp: 0.0113
QP=25 | Frame 24: Weighted PSNR: 34.093 dB | Y: 32.170 | U: 40.057 | V: 39.661 | Bpp: 0.0032
QP=25 | Frame 25: Weighted PSNR: 34.370 dB | Y: 32.520 | U: 40.067 | V: 39.770 | Bpp: 0.0130
QP=25 | Frame 26: Weighted PSNR: 34.116 dB | Y: 32.243 | U: 40.015 | V: 39.458 | Bpp: 0.0030
QP=25 | Frame 27: Weighted PSNR: 34.041 dB | Y: 32.164 | U: 39.961 | V: 39.385 | Bpp: 0.0064
QP=25 | Frame 28: Weighted PSNR: 33.802 dB | Y: 31.920 | U: 39.843 | V: 39.055 | Bpp: 0.0037
QP=25 | Frame 29: Weighted PSNR: 33.599 dB | Y: 31.690 | U: 39.807 | V: 38.842 | Bpp: 0.0062
QP=25 | Frame 30: Weighted PSNR: 33.269 dB | Y: 31.349 | U: 39.713 | V: 38.348 | Bpp: 0.0023
QP=25 | Frame 31: Weighted PSNR: 32.873 dB | Y: 30.941 | U: 39.575 | V: 37.768 | Bpp: 0.0028
QP=25 | Frame 32: Weighted PSNR: 32.389 dB | Y: 30.400 | U: 39.356 | V: 37.358 | Bpp: 0.0023
QP=25 | Frame 33: Weighted PSNR: 34.026 dB | Y: 32.101 | U: 40.373 | V: 39.232 | Bpp: 0.0624
QP=25 | Frame 34: Weighted PSNR: 33.693 dB | Y: 31.689 | U: 40.406 | V: 39.005 | Bpp: 0.0053
QP=25 | Frame 35: Weighted PSNR: 34.422 dB | Y: 32.540 | U: 40.551 | V: 39.588 | Bpp: 0.0242
QP=25 | Frame 36: Weighted PSNR: 34.071 dB | Y: 32.093 | U: 40.555 | V: 39.449 | Bpp: 0.0044
QP=25 | Frame 37: Weighted PSNR: 34.662 dB | Y: 32.765 | U: 40.718 | V: 39.991 | Bpp: 0.0239
QP=25 | Frame 38: Weighted PSNR: 34.203 dB | Y: 32.203 | U: 40.654 | V: 39.750 | Bpp: 0.0049
QP=25 | Frame 39: Weighted PSNR: 34.445 dB | Y: 32.586 | U: 40.415 | V: 39.629 | Bpp: 0.0169
QP=25 | Frame 40: Weighted PSNR: 34.011 dB | Y: 32.098 | U: 40.216 | V: 39.279 | Bpp: 0.0055
QP=25 | Frame 41: Weighted PSNR: 34.459 dB | Y: 32.625 | U: 40.399 | V: 39.517 | Bpp: 0.0214
QP=25 | Frame 42: Weighted PSNR: 34.091 dB | Y: 32.179 | U: 40.316 | V: 39.338 | Bpp: 0.0053
QP=25 | Frame 43: Weighted PSNR: 34.437 dB | Y: 32.639 | U: 40.287 | V: 39.374 | Bpp: 0.0162
QP=25 | Frame 44: Weighted PSNR: 34.094 dB | Y: 32.227 | U: 40.147 | V: 39.244 | Bpp: 0.0055
QP=25 | Frame 45: Weighted PSNR: 34.745 dB | Y: 32.932 | U: 40.490 | V: 39.876 | Bpp: 0.0227
QP=25 | Frame 46: Weighted PSNR: 34.363 dB | Y: 32.456 | U: 40.498 | V: 39.671 | Bpp: 0.0057
